lr,batch_size,dropout,activation,batchnorm,weight_decay,optimizer,final_test_acc
0.001,64,0.3,<class 'torch.nn.modules.activation.ReLU'>,False,0.0,<class 'torch.optim.adam.Adam'>,64.25
0.001,64,0.3,<class 'torch.nn.modules.activation.ReLU'>,False,0.0,<class 'torch.optim.sgd.SGD'>,16.33
0.001,64,0.3,<class 'torch.nn.modules.activation.ReLU'>,False,0.0001,<class 'torch.optim.adam.Adam'>,62.35
0.001,64,0.3,<class 'torch.nn.modules.activation.ReLU'>,False,0.0001,<class 'torch.optim.sgd.SGD'>,15.29
0.001,64,0.3,<class 'torch.nn.modules.activation.ReLU'>,True,0.0,<class 'torch.optim.adam.Adam'>,68.37
0.001,64,0.3,<class 'torch.nn.modules.activation.ReLU'>,True,0.0,<class 'torch.optim.sgd.SGD'>,46.1
0.001,64,0.3,<class 'torch.nn.modules.activation.ReLU'>,True,0.0001,<class 'torch.optim.adam.Adam'>,67.83
0.001,64,0.3,<class 'torch.nn.modules.activation.ReLU'>,True,0.0001,<class 'torch.optim.sgd.SGD'>,46.46
0.001,64,0.3,<class 'torch.nn.modules.activation.LeakyReLU'>,False,0.0,<class 'torch.optim.adam.Adam'>,64.08
0.001,64,0.3,<class 'torch.nn.modules.activation.LeakyReLU'>,False,0.0,<class 'torch.optim.sgd.SGD'>,10.11
0.001,64,0.3,<class 'torch.nn.modules.activation.LeakyReLU'>,False,0.0001,<class 'torch.optim.adam.Adam'>,64.91
0.001,64,0.3,<class 'torch.nn.modules.activation.LeakyReLU'>,False,0.0001,<class 'torch.optim.sgd.SGD'>,14.72
0.001,64,0.3,<class 'torch.nn.modules.activation.LeakyReLU'>,True,0.0,<class 'torch.optim.adam.Adam'>,69.07
0.001,64,0.3,<class 'torch.nn.modules.activation.LeakyReLU'>,True,0.0,<class 'torch.optim.sgd.SGD'>,46.73
0.001,64,0.3,<class 'torch.nn.modules.activation.LeakyReLU'>,True,0.0001,<class 'torch.optim.adam.Adam'>,69.1
0.001,64,0.3,<class 'torch.nn.modules.activation.LeakyReLU'>,True,0.0001,<class 'torch.optim.sgd.SGD'>,46.72
0.001,64,0.5,<class 'torch.nn.modules.activation.ReLU'>,False,0.0,<class 'torch.optim.adam.Adam'>,64.59
0.001,64,0.5,<class 'torch.nn.modules.activation.ReLU'>,False,0.0,<class 'torch.optim.sgd.SGD'>,14.04
0.001,64,0.5,<class 'torch.nn.modules.activation.ReLU'>,False,0.0001,<class 'torch.optim.adam.Adam'>,63.48
0.001,64,0.5,<class 'torch.nn.modules.activation.ReLU'>,False,0.0001,<class 'torch.optim.sgd.SGD'>,18.2
0.001,64,0.5,<class 'torch.nn.modules.activation.ReLU'>,True,0.0,<class 'torch.optim.adam.Adam'>,65.35
0.001,64,0.5,<class 'torch.nn.modules.activation.ReLU'>,True,0.0,<class 'torch.optim.sgd.SGD'>,45.52
0.001,64,0.5,<class 'torch.nn.modules.activation.ReLU'>,True,0.0001,<class 'torch.optim.adam.Adam'>,65.42
0.001,64,0.5,<class 'torch.nn.modules.activation.ReLU'>,True,0.0001,<class 'torch.optim.sgd.SGD'>,44.69
0.001,64,0.5,<class 'torch.nn.modules.activation.LeakyReLU'>,False,0.0,<class 'torch.optim.adam.Adam'>,63.96
0.001,64,0.5,<class 'torch.nn.modules.activation.LeakyReLU'>,False,0.0,<class 'torch.optim.sgd.SGD'>,14.08
0.001,64,0.5,<class 'torch.nn.modules.activation.LeakyReLU'>,False,0.0001,<class 'torch.optim.adam.Adam'>,64.64
0.001,64,0.5,<class 'torch.nn.modules.activation.LeakyReLU'>,False,0.0001,<class 'torch.optim.sgd.SGD'>,17.58
0.001,64,0.5,<class 'torch.nn.modules.activation.LeakyReLU'>,True,0.0,<class 'torch.optim.adam.Adam'>,60.87
0.001,64,0.5,<class 'torch.nn.modules.activation.LeakyReLU'>,True,0.0,<class 'torch.optim.sgd.SGD'>,45.62
0.001,64,0.5,<class 'torch.nn.modules.activation.LeakyReLU'>,True,0.0001,<class 'torch.optim.adam.Adam'>,63.78
0.001,64,0.5,<class 'torch.nn.modules.activation.LeakyReLU'>,True,0.0001,<class 'torch.optim.sgd.SGD'>,44.97
0.001,128,0.3,<class 'torch.nn.modules.activation.ReLU'>,False,0.0,<class 'torch.optim.adam.Adam'>,62.33
0.001,128,0.3,<class 'torch.nn.modules.activation.ReLU'>,False,0.0,<class 'torch.optim.sgd.SGD'>,12.87
0.001,128,0.3,<class 'torch.nn.modules.activation.ReLU'>,False,0.0001,<class 'torch.optim.adam.Adam'>,62.61
0.001,128,0.3,<class 'torch.nn.modules.activation.ReLU'>,False,0.0001,<class 'torch.optim.sgd.SGD'>,10.17
0.001,128,0.3,<class 'torch.nn.modules.activation.ReLU'>,True,0.0,<class 'torch.optim.adam.Adam'>,63.22
0.001,128,0.3,<class 'torch.nn.modules.activation.ReLU'>,True,0.0,<class 'torch.optim.sgd.SGD'>,40.54
0.001,128,0.3,<class 'torch.nn.modules.activation.ReLU'>,True,0.0001,<class 'torch.optim.adam.Adam'>,67.27
0.001,128,0.3,<class 'torch.nn.modules.activation.ReLU'>,True,0.0001,<class 'torch.optim.sgd.SGD'>,40.91
0.001,128,0.3,<class 'torch.nn.modules.activation.LeakyReLU'>,False,0.0,<class 'torch.optim.adam.Adam'>,63.04
0.001,128,0.3,<class 'torch.nn.modules.activation.LeakyReLU'>,False,0.0,<class 'torch.optim.sgd.SGD'>,10.04
0.001,128,0.3,<class 'torch.nn.modules.activation.LeakyReLU'>,False,0.0001,<class 'torch.optim.adam.Adam'>,61.52
0.001,128,0.3,<class 'torch.nn.modules.activation.LeakyReLU'>,False,0.0001,<class 'torch.optim.sgd.SGD'>,13.68
0.001,128,0.3,<class 'torch.nn.modules.activation.LeakyReLU'>,True,0.0,<class 'torch.optim.adam.Adam'>,67.22
0.001,128,0.3,<class 'torch.nn.modules.activation.LeakyReLU'>,True,0.0,<class 'torch.optim.sgd.SGD'>,40.01
0.001,128,0.3,<class 'torch.nn.modules.activation.LeakyReLU'>,True,0.0001,<class 'torch.optim.adam.Adam'>,68.33
0.001,128,0.3,<class 'torch.nn.modules.activation.LeakyReLU'>,True,0.0001,<class 'torch.optim.sgd.SGD'>,40.58
0.001,128,0.5,<class 'torch.nn.modules.activation.ReLU'>,False,0.0,<class 'torch.optim.adam.Adam'>,62.07
0.001,128,0.5,<class 'torch.nn.modules.activation.ReLU'>,False,0.0,<class 'torch.optim.sgd.SGD'>,12.27
0.001,128,0.5,<class 'torch.nn.modules.activation.ReLU'>,False,0.0001,<class 'torch.optim.adam.Adam'>,62.32
0.001,128,0.5,<class 'torch.nn.modules.activation.ReLU'>,False,0.0001,<class 'torch.optim.sgd.SGD'>,13.82
0.001,128,0.5,<class 'torch.nn.modules.activation.ReLU'>,True,0.0,<class 'torch.optim.adam.Adam'>,62.7
0.001,128,0.5,<class 'torch.nn.modules.activation.ReLU'>,True,0.0,<class 'torch.optim.sgd.SGD'>,41.55
0.001,128,0.5,<class 'torch.nn.modules.activation.ReLU'>,True,0.0001,<class 'torch.optim.adam.Adam'>,64.97
0.001,128,0.5,<class 'torch.nn.modules.activation.ReLU'>,True,0.0001,<class 'torch.optim.sgd.SGD'>,39.89
0.001,128,0.5,<class 'torch.nn.modules.activation.LeakyReLU'>,False,0.0,<class 'torch.optim.adam.Adam'>,65.17
0.001,128,0.5,<class 'torch.nn.modules.activation.LeakyReLU'>,False,0.0,<class 'torch.optim.sgd.SGD'>,13.97
0.001,128,0.5,<class 'torch.nn.modules.activation.LeakyReLU'>,False,0.0001,<class 'torch.optim.adam.Adam'>,62.9
0.001,128,0.5,<class 'torch.nn.modules.activation.LeakyReLU'>,False,0.0001,<class 'torch.optim.sgd.SGD'>,11.44
0.001,128,0.5,<class 'torch.nn.modules.activation.LeakyReLU'>,True,0.0,<class 'torch.optim.adam.Adam'>,65.77
0.001,128,0.5,<class 'torch.nn.modules.activation.LeakyReLU'>,True,0.0,<class 'torch.optim.sgd.SGD'>,40.81
0.001,128,0.5,<class 'torch.nn.modules.activation.LeakyReLU'>,True,0.0001,<class 'torch.optim.adam.Adam'>,66.08
0.001,128,0.5,<class 'torch.nn.modules.activation.LeakyReLU'>,True,0.0001,<class 'torch.optim.sgd.SGD'>,39.65
0.0005,64,0.3,<class 'torch.nn.modules.activation.ReLU'>,False,0.0,<class 'torch.optim.adam.Adam'>,61.61
0.0005,64,0.3,<class 'torch.nn.modules.activation.ReLU'>,False,0.0,<class 'torch.optim.sgd.SGD'>,15.22
0.0005,64,0.3,<class 'torch.nn.modules.activation.ReLU'>,False,0.0001,<class 'torch.optim.adam.Adam'>,61.11
0.0005,64,0.3,<class 'torch.nn.modules.activation.ReLU'>,False,0.0001,<class 'torch.optim.sgd.SGD'>,9.86
0.0005,64,0.3,<class 'torch.nn.modules.activation.ReLU'>,True,0.0,<class 'torch.optim.adam.Adam'>,64.47
0.0005,64,0.3,<class 'torch.nn.modules.activation.ReLU'>,True,0.0,<class 'torch.optim.sgd.SGD'>,40.29
0.0005,64,0.3,<class 'torch.nn.modules.activation.ReLU'>,True,0.0001,<class 'torch.optim.adam.Adam'>,64.22
0.0005,64,0.3,<class 'torch.nn.modules.activation.ReLU'>,True,0.0001,<class 'torch.optim.sgd.SGD'>,40.36
0.0005,64,0.3,<class 'torch.nn.modules.activation.LeakyReLU'>,False,0.0,<class 'torch.optim.adam.Adam'>,63.45
0.0005,64,0.3,<class 'torch.nn.modules.activation.LeakyReLU'>,False,0.0,<class 'torch.optim.sgd.SGD'>,10.69
0.0005,64,0.3,<class 'torch.nn.modules.activation.LeakyReLU'>,False,0.0001,<class 'torch.optim.adam.Adam'>,62.4
0.0005,64,0.3,<class 'torch.nn.modules.activation.LeakyReLU'>,False,0.0001,<class 'torch.optim.sgd.SGD'>,14.26
0.0005,64,0.3,<class 'torch.nn.modules.activation.LeakyReLU'>,True,0.0,<class 'torch.optim.adam.Adam'>,67.43
0.0005,64,0.3,<class 'torch.nn.modules.activation.LeakyReLU'>,True,0.0,<class 'torch.optim.sgd.SGD'>,41.52
0.0005,64,0.3,<class 'torch.nn.modules.activation.LeakyReLU'>,True,0.0001,<class 'torch.optim.adam.Adam'>,68.15
0.0005,64,0.3,<class 'torch.nn.modules.activation.LeakyReLU'>,True,0.0001,<class 'torch.optim.sgd.SGD'>,40.36
0.0005,64,0.5,<class 'torch.nn.modules.activation.ReLU'>,False,0.0,<class 'torch.optim.adam.Adam'>,59.93
0.0005,64,0.5,<class 'torch.nn.modules.activation.ReLU'>,False,0.0,<class 'torch.optim.sgd.SGD'>,10.99
0.0005,64,0.5,<class 'torch.nn.modules.activation.ReLU'>,False,0.0001,<class 'torch.optim.adam.Adam'>,59.84
0.0005,64,0.5,<class 'torch.nn.modules.activation.ReLU'>,False,0.0001,<class 'torch.optim.sgd.SGD'>,10.96
0.0005,64,0.5,<class 'torch.nn.modules.activation.ReLU'>,True,0.0,<class 'torch.optim.adam.Adam'>,66.06
0.0005,64,0.5,<class 'torch.nn.modules.activation.ReLU'>,True,0.0,<class 'torch.optim.sgd.SGD'>,40.56
0.0005,64,0.5,<class 'torch.nn.modules.activation.ReLU'>,True,0.0001,<class 'torch.optim.adam.Adam'>,66.52
0.0005,64,0.5,<class 'torch.nn.modules.activation.ReLU'>,True,0.0001,<class 'torch.optim.sgd.SGD'>,40.97
0.0005,64,0.5,<class 'torch.nn.modules.activation.LeakyReLU'>,False,0.0,<class 'torch.optim.adam.Adam'>,62.43
0.0005,64,0.5,<class 'torch.nn.modules.activation.LeakyReLU'>,False,0.0,<class 'torch.optim.sgd.SGD'>,9.59
0.0005,64,0.5,<class 'torch.nn.modules.activation.LeakyReLU'>,False,0.0001,<class 'torch.optim.adam.Adam'>,63.1
0.0005,64,0.5,<class 'torch.nn.modules.activation.LeakyReLU'>,False,0.0001,<class 'torch.optim.sgd.SGD'>,13.94
0.0005,64,0.5,<class 'torch.nn.modules.activation.LeakyReLU'>,True,0.0,<class 'torch.optim.adam.Adam'>,65.01
0.0005,64,0.5,<class 'torch.nn.modules.activation.LeakyReLU'>,True,0.0,<class 'torch.optim.sgd.SGD'>,40.85
0.0005,64,0.5,<class 'torch.nn.modules.activation.LeakyReLU'>,True,0.0001,<class 'torch.optim.adam.Adam'>,66.33
0.0005,64,0.5,<class 'torch.nn.modules.activation.LeakyReLU'>,True,0.0001,<class 'torch.optim.sgd.SGD'>,41.55
0.0005,128,0.3,<class 'torch.nn.modules.activation.ReLU'>,False,0.0,<class 'torch.optim.adam.Adam'>,56.59
0.0005,128,0.3,<class 'torch.nn.modules.activation.ReLU'>,False,0.0,<class 'torch.optim.sgd.SGD'>,12.46
0.0005,128,0.3,<class 'torch.nn.modules.activation.ReLU'>,False,0.0001,<class 'torch.optim.adam.Adam'>,57.29
0.0005,128,0.3,<class 'torch.nn.modules.activation.ReLU'>,False,0.0001,<class 'torch.optim.sgd.SGD'>,9.92
0.0005,128,0.3,<class 'torch.nn.modules.activation.ReLU'>,True,0.0,<class 'torch.optim.adam.Adam'>,65.51
0.0005,128,0.3,<class 'torch.nn.modules.activation.ReLU'>,True,0.0,<class 'torch.optim.sgd.SGD'>,36.21
0.0005,128,0.3,<class 'torch.nn.modules.activation.ReLU'>,True,0.0001,<class 'torch.optim.adam.Adam'>,64.9
0.0005,128,0.3,<class 'torch.nn.modules.activation.ReLU'>,True,0.0001,<class 'torch.optim.sgd.SGD'>,36.56
0.0005,128,0.3,<class 'torch.nn.modules.activation.LeakyReLU'>,False,0.0,<class 'torch.optim.adam.Adam'>,58.9
0.0005,128,0.3,<class 'torch.nn.modules.activation.LeakyReLU'>,False,0.0,<class 'torch.optim.sgd.SGD'>,14.31
0.0005,128,0.3,<class 'torch.nn.modules.activation.LeakyReLU'>,False,0.0001,<class 'torch.optim.adam.Adam'>,59.85
0.0005,128,0.3,<class 'torch.nn.modules.activation.LeakyReLU'>,False,0.0001,<class 'torch.optim.sgd.SGD'>,13.91
0.0005,128,0.3,<class 'torch.nn.modules.activation.LeakyReLU'>,True,0.0,<class 'torch.optim.adam.Adam'>,63.96
0.0005,128,0.3,<class 'torch.nn.modules.activation.LeakyReLU'>,True,0.0,<class 'torch.optim.sgd.SGD'>,36.16
0.0005,128,0.3,<class 'torch.nn.modules.activation.LeakyReLU'>,True,0.0001,<class 'torch.optim.adam.Adam'>,67.28
0.0005,128,0.3,<class 'torch.nn.modules.activation.LeakyReLU'>,True,0.0001,<class 'torch.optim.sgd.SGD'>,34.55
0.0005,128,0.5,<class 'torch.nn.modules.activation.ReLU'>,False,0.0,<class 'torch.optim.adam.Adam'>,57.31
0.0005,128,0.5,<class 'torch.nn.modules.activation.ReLU'>,False,0.0,<class 'torch.optim.sgd.SGD'>,9.88
0.0005,128,0.5,<class 'torch.nn.modules.activation.ReLU'>,False,0.0001,<class 'torch.optim.adam.Adam'>,55.45
0.0005,128,0.5,<class 'torch.nn.modules.activation.ReLU'>,False,0.0001,<class 'torch.optim.sgd.SGD'>,10.04
0.0005,128,0.5,<class 'torch.nn.modules.activation.ReLU'>,True,0.0,<class 'torch.optim.adam.Adam'>,65.92
0.0005,128,0.5,<class 'torch.nn.modules.activation.ReLU'>,True,0.0,<class 'torch.optim.sgd.SGD'>,35.05
0.0005,128,0.5,<class 'torch.nn.modules.activation.ReLU'>,True,0.0001,<class 'torch.optim.adam.Adam'>,64.54
0.0005,128,0.5,<class 'torch.nn.modules.activation.ReLU'>,True,0.0001,<class 'torch.optim.sgd.SGD'>,36.85
0.0005,128,0.5,<class 'torch.nn.modules.activation.LeakyReLU'>,False,0.0,<class 'torch.optim.adam.Adam'>,58.29
0.0005,128,0.5,<class 'torch.nn.modules.activation.LeakyReLU'>,False,0.0,<class 'torch.optim.sgd.SGD'>,10.03
0.0005,128,0.5,<class 'torch.nn.modules.activation.LeakyReLU'>,False,0.0001,<class 'torch.optim.adam.Adam'>,57.91
0.0005,128,0.5,<class 'torch.nn.modules.activation.LeakyReLU'>,False,0.0001,<class 'torch.optim.sgd.SGD'>,10.63
0.0005,128,0.5,<class 'torch.nn.modules.activation.LeakyReLU'>,True,0.0,<class 'torch.optim.adam.Adam'>,66.65
0.0005,128,0.5,<class 'torch.nn.modules.activation.LeakyReLU'>,True,0.0,<class 'torch.optim.sgd.SGD'>,35.52
0.0005,128,0.5,<class 'torch.nn.modules.activation.LeakyReLU'>,True,0.0001,<class 'torch.optim.adam.Adam'>,65.02
0.0005,128,0.5,<class 'torch.nn.modules.activation.LeakyReLU'>,True,0.0001,<class 'torch.optim.sgd.SGD'>,34.15
